Telemetry Data,Key Motor,-,-,Alive,boolean,-,-,-,-,Yes
,,,,Set Current,number,-,%,-,-,-
,,,,Set Velocity,number,-,RPM,-,-,-
,,,,Bus Current,number,-,A,-,-,-
,,,,Bus Voltage,number,-,V,-,-,-
,,,,Vehicle Velocity,number,-,km/h,-,-,-
,Motor Details,-,-,Phase C Current,number,-,A(rms),-,-,Yes
,,,,Phase B Current,number,-,A(rms),-,-,-
,,,,Motor Voltage Real,number,-,V,-,-,-
,,,,Motor Voltage Imaginary,number,-,V,-,-,-
,,,,Motor Current Real,number,-,A,-,-,-
,,,,Motor Current Imaginary,number,-,A,-,-,-
,,,,Back Emf,number,-,V,-,-,-
,,,,Voltage Rail 15V Supply,number,-,V,-,-,-
,,,,Voltage Rail 3V Supply,number,-,V,-,-,-
,,,,Voltage Rail 1V Supply,number,-,V,-,-,-
,,,,Heatsink Temperature,number,-,°C,-,-,-
,,,,Motor Temperature,number,-,°C,-,-,-
,,,,Dsp Board Temperature,number,-,°C,-,-,-
,,,,Dc Bus Amp Hours,number,-,Ah,-,-,-
,,,,Odometer,number,-,m,-,-,-
,,,,Slip Speed,number,-,Hz,-,-,-
